Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.4.4-10.62.242.161-853-24311-6,10.62.242.161,24311,8.8.4.4,853,6,06/05/2023 19:50,4216647,14,1,853,0,293,0,60.92857143,92.05555537,0,0,0,0,202.2934336,3.557328844,301189.0714,730737.9474,2626641,5,4186360,322027.6923,756234.0997,2626641,5,0,0,0,0,0,0,0,0,0,448,40,3.320173588,0.237155256,0,293,53.3125,88.18973391,7777.429167,0,1,0,0,0,0,0,0,0,56.86666667,60.92857143,0,0,0,0,0,0,0,14,853,1,0,-1,65228,6,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-39818-6,10.62.242.161,39818,8.8.4.4,853,6,06/05/2023 19:50,279110,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,1966.966429,39.41098492,27911,50039.68135,159690,4,245832,27314.66667,53037.39504,159690,4,0,0,0,0,0,0,0,0,0,320,40,35.82816811,3.582816811,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.8.8-10.62.242.161-853-47551-6,10.62.242.161,47551,8.8.8.8,853,6,06/05/2023 19:50,345913,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,1587.104272,31.79990344,34591.3,77122.03868,249769,3,321854,35761.55556,81706.04692,249769,3,0,0,0,0,0,0,0,0,0,320,40,28.90900313,2.890900313,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-45422-6,10.62.242.161,45422,8.8.4.4,853,6,06/05/2023 19:50,22787823,14,1,853,0,293,0,60.92857143,92.05555537,0,0,0,0,37.43227249,0.658246292,1627701.643,5367792.877,2.02E+07,5,2.28E+07,1751102.923,5566268.434,2.02E+07,5,0,0,0,0,0,0,0,0,0,448,40,0.614363206,0.043883086,0,293,53.3125,88.18973391,7777.429167,0,1,0,0,0,0,0,0,0,56.86666667,60.92857143,0,0,0,0,0,0,0,14,853,1,0,-1,65228,6,0,155515,0,155515,155515,2.02E+07,0,2.02E+07,2.02E+07,0
8.8.8.8-10.62.242.161-853-59531-6,10.62.242.161,59531,8.8.8.8,853,6,06/05/2023 19:50,23674302,90,1,6629,0,293,0,73.65555556,78.74195677,0,0,0,0,280.0082554,3.843830327,263047.8,765891.914,5005908,5,2.36E+07,265624.6966,769838.8125,5005908,5,0,0,0,0,0,0,0,0,0,2880,40,3.801590433,0.042239894,0,293,72.05434783,78.6172204,6180.667344,0,1,0,0,0,0,0,0,0,72.84615385,73.65555556,0,0,0,0,0,0,0,90,6629,1,0,-1,65228,44,0,4392619,0,4392619,4392619,5005908,0,5005908,5005908,0
8.8.4.4-10.62.242.161-853-25667-6,10.62.242.161,25667,8.8.4.4,853,6,06/05/2023 19:51,1883956,12,1,701,0,293,0,58.41666667,94.42790259,0,0,0,0,372.0893694,6.900373469,156996.3333,411678.595,1442868,6,1845555,167777.7273,429991.6796,1442868,6,0,0,0,0,0,0,0,0,0,384,40,6.36957551,0.530797959,0,293,50.07142857,89.41387286,7994.840659,0,1,0,0,0,0,0,0,0,53.92307692,58.41666667,0,0,0,0,0,0,0,12,701,1,0,-1,65228,5,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-35580-6,10.62.242.161,35580,8.8.4.4,853,6,06/05/2023 19:50,28361958,56,1,3893,0,293,0,69.51785714,80.17979593,0,0,0,0,137.2613273,2.009734307,506463.5357,1196247.396,7153902,6,2.83E+07,515030,1205538.201,7153902,6,0,0,0,0,0,0,0,0,0,1816,40,1.97447581,0.035258497,0,293,67.12068966,79.7931707,6366.950091,0,1,0,0,0,0,0,0,0,68.29824561,69.51785714,0,0,0,0,0,0,0,56,3893,1,0,-1,65228,26,0,6658405,0,6658405,6658405,7153902,0,7153902,7153902,0
8.8.8.8-10.62.242.161-853-20713-6,10.62.242.161,20713,8.8.8.8,853,6,06/05/2023 19:51,295723,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,1856.467032,37.19697149,29572.3,60551.12783,196065,5,269104,29900.44444,64214.73803,196065,5,0,0,0,0,0,0,0,0,0,320,40,33.81542863,3.381542863,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.8.8-10.62.242.161-853-50771-6,10.62.242.161,50771,8.8.8.8,853,6,06/05/2023 19:51,3735494,29,1,2069,0,293,0,71.34482759,84.37936269,0,0,0,0,553.8758729,8.031066306,128810.1379,233290.3491,997640,4,3710592,132521.1429,236697.9894,997640,4,0,0,0,0,0,0,0,0,0,928,40,7.763364096,0.26770221,0,293,66.74193548,83.44258215,6962.664516,0,1,0,0,0,0,0,0,0,68.96666667,71.34482759,0,0,0,0,0,0,0,29,2069,1,0,-1,65228,14,0,0,0,0,0,0,0,0,0,0
8.8.8.8-10.62.242.161-853-38318-6,10.62.242.161,38318,8.8.8.8,853,6,06/05/2023 19:51,434423,13,1,853,0,304,0,65.61538462,112.6850615,0,0,0,0,1963.524031,32.22665467,33417.15385,78962.35688,289831,3,407978,33998.16667,82444.46274,289831,3,0,0,0,0,0,0,0,0,0,416,40,29.92475076,2.301903905,0,304,56.86666667,106.8502735,11416.98095,0,1,0,0,0,0,0,0,0,60.92857143,65.61538462,0,0,0,0,0,0,0,13,853,1,0,-1,65228,5,0,0,0,0,0,0,0,0,0,0
8.8.8.8-10.62.242.161-853-5665-6,10.62.242.161,5665,8.8.8.8,853,6,06/05/2023 19:51,11394232,18,1,1157,0,293,0,64.27777778,88.77453633,0,0,0,0,101.5426051,1.667510368,633012.8889,1685786.007,5522884,46,1.14E+07,668735.9412,1730631.533,5522884,46,0,0,0,0,0,0,0,0,0,576,40,1.579746665,0.087763704,0,293,57.85,86.27146567,7442.765789,0,1,0,0,0,0,0,0,0,60.89473684,64.27777778,0,0,0,0,0,0,0,18,1157,1,0,-1,65228,8,0,143773,0,143773,143773,5522884,0,5522884,5522884,0
8.8.8.8-10.62.242.161-853-26314-6,10.62.242.161,26314,8.8.8.8,853,6,06/05/2023 19:51,39035015,30,1,2069,0,293,0,68.96666667,83.92873961,0,0,0,0,53.00369425,0.794158783,1301167.167,3434198.646,1.52E+07,6,3.90E+07,1344820.655,3486504.565,1.52E+07,6,0,0,0,0,0,0,0,0,0,960,40,0.768540758,0.025618025,0,293,64.65625,82.92927783,6877.265121,0,1,0,0,0,0,0,0,0,66.74193548,68.96666667,0,0,0,0,0,0,0,30,2069,1,0,-1,65228,14,0,6096636,477666.187,6434397,5758875,1.33E+07,2700857.283,1.52E+07,1.14E+07,0
8.8.8.8-10.62.242.161-853-19414-6,10.62.242.161,19414,8.8.8.8,853,6,06/05/2023 19:50,42870028,81,1,6021,0,293,0,74.33333333,79.06579539,0,0,0,0,140.4477739,1.912758256,529259.6049,1777432.436,1.33E+07,4,4.28E+07,535537.0625,1787742.835,1.33E+07,4,0,0,0,0,0,0,0,0,0,2592,40,1.889431936,0.02332632,0,293,72.54216867,78.93317662,6230.446371,0,1,0,0,0,0,0,0,0,73.42682927,74.33333333,0,0,0,0,0,0,0,81,6021,1,0,-1,65228,40,0,1.08E+07,1.04E+07,1.81E+07,3414893,1.05E+07,3868967.987,1.33E+07,7787300,0
8.8.8.8-10.62.242.161-853-50744-6,10.62.242.161,50744,8.8.8.8,853,6,06/05/2023 19:51,16837347,48,1,3589,0,293,0,74.77083333,81.16917966,0,0,0,0,213.1570965,2.910197194,350778.0625,969190.0201,5433973,7,1.68E+07,357561.234,978515.6807,5433973,7,0,0,0,0,0,0,0,0,0,1536,40,2.850805415,0.059391779,0,293,71.78,80.8615067,6538.583265,0,1,0,0,0,0,0,0,0,73.24489796,74.77083333,0,0,0,0,0,0,0,48,3589,1,0,-1,65228,24,0,7537427,0,7537427,7537427,5433973,0,5433973,5433973,0
