Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.8.8-10.56.131.106-853-41123-6,10.56.131.106,41123,8.8.8.8,853,6,09/05/2023 01:28,117070,9,1,549,0,293,0,61,101.5135459,0,0,0,0,4689.502007,85.4189801,13007.77778,16522.85349,37741,3,89791,11223.875,16711.46417,37741,3,0,0,0,0,0,0,0,0,0,288,40,76.87708209,8.54189801,0,293,49.90909091,94.08980237,8852.890909,0,1,0,0,0,0,0,0,0,54.9,61,0,0,0,0,0,0,0,9,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-43829-6,10.56.131.106,43829,8.8.8.8,853,6,09/05/2023 01:28,91299,8,1,549,0,293,0,68.625,110.5504894,0,0,0,0,6013.209345,98.57720238,11412.375,15885.11352,36067,5,67862,9694.571429,16335.59647,36067,5,0,0,0,0,0,0,0,0,0,256,40,87.62417989,10.95302249,0,293,54.9,101.6993936,10342.76667,0,1,0,0,0,0,0,0,0,61,68.625,0,0,0,0,0,0,0,8,549,1,0,-1,65228,3,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-17159-6,10.56.131.106,17159,8.8.4.4,853,6,09/05/2023 01:28,14037849,62,1,4584,152,152,0,73.93548387,76.26267612,152,152,152,0,337.3736247,4.487867051,226416.9194,506896.6842,2947495,118,1.40E+07,229237.5902,510612.5222,2947495,118,0,0,0,0,0,0,1,0,0,1984,32,4.416631066,0.071235985,0,152,76.375,76.28091359,5818.777778,0,0,0,1,1,0,0,0,0,77.58730159,73.93548387,152,0,0,0,0,0,0,62,4584,1,152,-1,520,31,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-31789-6,10.56.131.106,31789,8.8.4.4,853,6,09/05/2023 01:28,7128489,6,1,328,152,152,0,54.66666667,75.96490418,152,152,152,0,67.33544795,0.981975283,1188081.5,1883996.851,4546541,68,7052546,1410509.2,2016370.392,4546541,68,0,0,0,0,0,0,1,0,0,192,32,0.841693099,0.140282183,0,152,79,78.4346862,6152,0,0,0,1,1,0,0,0,0,90.28571429,54.66666667,152,0,0,0,0,0,0,6,328,1,152,-1,520,3,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-18713-6,10.56.131.106,18713,8.8.4.4,853,6,09/05/2023 01:28,177545,10,1,701,0,293,0,70.1,99.94048229,0,0,0,0,3948.294799,61.9561238,17754.5,23497.5104,66993,3,153623,17069.22222,24816.65884,66993,3,0,0,0,0,0,0,0,0,0,320,40,56.32374891,5.632374891,0,293,58.41666667,94.42790259,8916.628788,0,1,0,0,0,0,0,0,0,63.72727273,70.1,0,0,0,0,0,0,0,10,701,1,0,-1,65228,5,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-27529-6,10.56.131.106,27529,8.8.8.8,853,6,09/05/2023 01:28,11898068,92,1,6864,152,152,0,74.60869565,76.18239486,152,152,152,0,589.6755675,7.816395065,129326.8261,181743.8314,1176740,60,1.18E+07,129804.7253,182692.5949,1176740,60,0,0,0,0,0,0,1,0,0,2944,32,7.732347806,0.084047259,0,152,76.25531915,76.19061215,5805.00938,0,0,0,1,1,0,0,0,0,77.07526882,74.60869565,152,0,0,0,0,0,0,92,6864,1,152,-1,520,46,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-60890-6,10.56.131.106,60890,8.8.8.8,853,6,09/05/2023 01:28,24642218,102,1,7541,0,293,0,73.93137255,78.42487227,0,0,0,0,306.0195312,4.179818554,241590.3725,555596.3298,3696273,4,2.46E+07,243734.4554,557943.1532,3696273,4,0,0,0,0,0,0,0,0,0,3264,40,4.139237791,0.040580763,0,293,72.50961538,78.32704591,6135.12612,0,1,0,0,0,0,0,0,0,73.21359223,73.93137255,0,0,0,0,0,0,0,102,7541,1,0,-1,65228,50,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-58952-6,10.56.131.106,58952,8.8.4.4,853,6,09/05/2023 01:28,26244624,48,1,3437,0,293,0,71.60416667,81.05704311,0,0,0,0,130.960154,1.867049038,546763,1013259.739,4235020,3,2.62E+07,557652.2553,1021371.327,4235020,3,0,0,0,0,0,0,0,0,0,1536,40,1.828945997,0.038103042,0,293,68.74,80.64100593,6502.971837,0,1,0,0,0,0,0,0,0,70.14285714,71.60416667,0,0,0,0,0,0,0,48,3437,1,0,-1,65228,23,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-50598-6,10.56.131.106,50598,8.8.8.8,853,6,09/05/2023 01:29,28457371,240,1,18029,0,293,0,75.12083333,77.04086553,0,0,0,0,633.5441176,8.468807607,118572.3792,215955.4078,1819402,49,2.84E+07,118957.3515,216326.0791,1819402,49,0,0,0,0,0,0,0,0,0,7680,40,8.433667326,0.035140281,0,293,74.5,77.02261618,5932.483402,0,1,0,0,0,0,0,0,0,74.80912863,75.12083333,0,0,0,0,0,0,0,240,18029,1,0,-1,65228,119,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-12576-6,10.56.131.106,12576,8.8.4.4,853,6,09/05/2023 01:28,35241658,267,1,20157,0,304,0,75.49438202,78.05947081,0,0,0,0,571.9651442,7.604636536,131991.2285,182020.9478,999302,4,3.52E+07,132384.2632,182250.5134,999302,4,0,0,0,0,0,0,0,0,0,8544,40,7.576261026,0.028375509,0,304,74.9330855,78.03861452,6090.025356,0,1,0,0,0,0,0,0,0,75.21268657,75.49438202,0,0,0,0,0,0,0,267,20157,1,0,-1,65228,132,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-29942-6,10.56.131.106,29942,8.8.4.4,853,6,09/05/2023 01:29,99501,8,1,549,0,293,0,68.625,110.5504894,0,0,0,0,5517.532487,90.45135225,12437.625,17366.32224,38003,3,75000,10714.28571,18003.74837,38003,3,0,0,0,0,0,0,0,0,0,256,40,80.401202,10.05015025,0,293,54.9,101.6993936,10342.76667,0,1,0,0,0,0,0,0,0,61,68.625,0,0,0,0,0,0,0,8,549,1,0,-1,65228,3,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-8483-6,10.56.131.106,8483,8.8.4.4,853,6,09/05/2023 01:29,93812,8,1,549,0,293,0,68.625,110.5504894,0,0,0,0,5852.129791,95.93655396,11726.5,16319.06473,36339,3,70038,10005.42857,16824.12084,36339,3,0,0,0,0,0,0,0,0,0,256,40,85.27693685,10.65961711,0,293,54.9,101.6993936,10342.76667,0,1,0,0,0,0,0,0,0,61,68.625,0,0,0,0,0,0,0,8,549,1,0,-1,65228,3,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-44674-6,10.56.131.106,44674,8.8.8.8,853,6,09/05/2023 01:28,44911994,72,1,5261,0,293,0,73.06944444,79.41109412,0,0,0,0,117.1402009,1.625401001,623777.6944,1385993.531,9282622,4,4.49E+07,632195.7183,1394003.435,9282622,4,0,0,0,0,0,0,0,0,0,2304,40,1.603135234,0.022265767,0,293,71.09459459,79.21916347,6275.675861,0,1,0,0,0,0,0,0,0,72.06849315,73.06944444,0,0,0,0,0,0,0,72,5261,1,0,-1,65228,35,0,9762395,0,9762395,9762395,9282622,0,9282622,9282622,3
8.8.4.4-10.56.131.106-853-35628-6,10.56.131.106,35628,8.8.4.4,853,6,09/05/2023 01:28,55290758,276,1,20848,152,152,0,75.53623188,76.06324253,152,152,152,0,379.8103112,5.009878866,200328.8333,376299.5426,2514276,75,5.52E+07,200900.16,376865.6523,2514276,75,0,0,0,0,0,0,1,0,0,8832,32,4.991792661,0.018086205,0,152,76.08633094,76.06414565,5785.754253,0,0,0,1,1,0,0,0,0,76.36101083,75.53623188,152,0,0,0,0,0,0,276,20848,1,152,-1,520,138,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-38581-6,10.56.131.106,38581,8.8.8.8,853,6,09/05/2023 01:29,23135416,132,1,9821,0,293,0,74.40151515,77.8810857,0,0,0,0,424.5006876,5.748761985,175268.303,316224.6665,2298027,5,2.31E+07,176428.3206,317156.5299,2298027,5,0,0,0,0,0,0,0,0,0,4224,40,5.70553821,0.043223774,0,293,73.29104478,77.82193137,6056.253002,0,1,0,0,0,0,0,0,0,73.84210526,74.40151515,0,0,0,0,0,0,0,132,9821,1,0,-1,65228,65,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-34755-6,10.56.131.106,34755,8.8.4.4,853,6,09/05/2023 01:29,18205533,106,1,7845,0,293,0,74.00943396,78.33487276,0,0,0,0,430.9129538,5.877334105,171750.3113,324912.5974,1996058,6,1.82E+07,173148.8952,326150.1819,1996058,6,0,0,0,0,0,0,0,0,0,3392,40,5.822405749,0.054928356,0,293,72.63888889,78.24410143,6122.139408,0,1,0,0,0,0,0,0,0,73.31775701,74.00943396,0,0,0,0,0,0,0,106,7845,1,0,-1,65228,52,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-17941-6,10.56.131.106,17941,8.8.8.8,853,6,09/05/2023 01:29,86597,8,1,701,0,328,0,87.625,140.6149123,0,0,0,0,8094.968648,103.9296973,10824.625,15285.76428,37411,5,60867,8695.285714,15174.94274,37411,5,0,0,0,0,0,0,0,0,0,256,40,92.38195319,11.54774415,0,328,70.1,129.397278,16743.65556,0,1,0,0,0,0,0,0,0,77.88888889,87.625,0,0,0,0,0,0,0,8,701,1,0,-1,65228,3,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-47794-6,10.56.131.106,47794,8.8.8.8,853,6,09/05/2023 01:29,172406,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,3184.343932,63.80288389,17240.6,24752.35697,70270,4,147215,16357.22222,26086.10864,70270,4,0,0,0,0,0,0,0,0,0,320,40,58.00262172,5.800262172,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-37166-6,10.56.131.106,37166,8.8.8.8,853,6,09/05/2023 01:29,4197373,43,1,3285,0,293,0,76.39534884,82.82774424,0,0,0,0,782.6323751,10.48274718,97613.32558,107886.5954,487338,6,4172500,99345.2381,108587.6738,487338,6,0,0,0,0,0,0,0,0,0,1376,40,10.24450293,0.238244254,0,293,73,82.47478954,6802.090909,0,1,0,0,0,0,0,0,0,74.65909091,76.39534884,0,0,0,0,0,0,0,43,3285,1,0,-1,65228,21,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-12805-6,10.56.131.106,12805,8.8.8.8,853,6,09/05/2023 01:29,212582,12,1,701,0,304,0,58.41666667,114.5310266,0,0,0,0,3297.551063,61.15287277,17715.16667,21475.72981,46064,15,172966,15724.18182,21330.78984,46064,15,0,0,0,0,0,0,0,0,0,384,40,56.44880564,4.704067136,0,304,50.07142857,107.4676798,11549.3022,0,1,0,0,0,0,0,0,0,53.92307692,58.41666667,0,0,0,0,0,0,0,12,701,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-35236-6,10.56.131.106,35236,8.8.4.4,853,6,09/05/2023 01:29,7928837,71,1,5261,0,304,0,74.09859155,83.54026487,0,0,0,0,663.5273244,9.080776916,111673.7606,163691.9211,994075,6,7898811,112840.1571,164576.3803,994075,6,0,0,0,0,0,0,0,0,0,2272,40,8.954655014,0.126121902,0,304,72.06849315,83.26736201,6933.453577,0,1,0,0,0,0,0,0,0,73.06944444,74.09859155,0,0,0,0,0,0,0,71,5261,1,0,-1,65228,34,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-63137-6,10.56.131.106,63137,8.8.8.8,853,6,09/05/2023 01:29,5304505,38,1,2677,0,293,0,70.44736842,82.33048018,0,0,0,0,504.6653741,7.352241161,139592.2368,349562.912,2055950,3,5281188,142734.8108,353840.0908,2055950,3,0,0,0,0,0,0,0,0,0,1216,40,7.163722157,0.188519004,0,293,66.925,81.68525822,6672.48141,0,1,0,0,0,0,0,0,0,68.64102564,70.44736842,0,0,0,0,0,0,0,38,2677,1,0,-1,65228,18,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-44103-6,10.56.131.106,44103,8.8.8.8,853,6,09/05/2023 01:30,98496,8,1,549,0,293,0,68.625,110.5504894,0,0,0,0,5573.830409,91.37426901,12312,17105.55535,37398,3,73235,10462.14286,17590.57402,37398,3,0,0,0,0,0,0,0,0,0,256,40,81.22157245,10.15269656,0,293,54.9,101.6993936,10342.76667,0,1,0,0,0,0,0,0,0,61,68.625,0,0,0,0,0,0,0,8,549,1,0,-1,65228,3,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-7351-6,10.56.131.106,7351,8.8.4.4,853,6,09/05/2023 01:30,7805341,75,1,5565,0,304,0,74.2,83.15127861,0,0,0,0,712.9733345,9.736922448,104071.2133,308523.8365,2499590,7,7779053,105122.3378,310494.5874,2499590,7,0,0,0,0,0,0,0,0,0,2400,40,9.608805048,0.128117401,0,304,72.27272727,82.90540525,6873.30622,0,1,0,0,0,0,0,0,0,73.22368421,74.2,0,0,0,0,0,0,0,75,5565,1,0,-1,65228,36,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-31140-6,10.56.131.106,31140,8.8.8.8,853,6,09/05/2023 01:29,37113996,61,1,4501,0,304,0,73.78688525,84.72762532,0,0,0,0,121.2750036,1.670528822,608426.1639,970472.5094,3755587,4,3.71E+07,618144.1167,975664.6426,3755587,4,0,0,0,0,0,0,0,0,0,1952,40,1.643584808,0.026944013,0,304,71.44444444,84.36380086,7117.250896,0,1,0,0,0,0,0,0,0,72.59677419,73.78688525,0,0,0,0,0,0,0,61,4501,1,0,-1,65228,29,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-36065-6,10.56.131.106,36065,8.8.4.4,853,6,09/05/2023 01:29,32120701,202,1,15141,0,293,0,74.95544554,77.23494553,0,0,0,0,471.3782554,6.319911885,159013.3713,269981.0038,1875751,5,3.21E+07,159657.2488,270499.589,1875751,5,0,0,0,0,0,0,0,0,0,6464,40,6.288779314,0.031132571,0,293,74.22058824,77.20930141,5961.276224,0,1,0,0,0,0,0,0,0,74.5862069,74.95544554,0,0,0,0,0,0,0,202,15141,1,0,-1,65228,100,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-32611-6,10.56.131.106,32611,8.8.4.4,853,6,09/05/2023 01:30,98519,8,1,549,0,293,0,68.625,110.5504894,0,0,0,0,5572.529157,91.352937,12314.875,17202.20195,38019,5,74308,10615.42857,17840.38324,38019,5,0,0,0,0,0,0,0,0,0,256,40,81.20261066,10.15032633,0,293,54.9,101.6993936,10342.76667,0,1,0,0,0,0,0,0,0,61,68.625,0,0,0,0,0,0,0,8,549,1,0,-1,65228,3,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-38574-6,10.56.131.106,38574,8.8.8.8,853,6,09/05/2023 01:29,62714552,374,1,28213,0,293,0,75.43582888,76.66972376,0,0,0,0,449.8636935,5.979473472,167685.9679,281060.6481,2118426,5,6.27E+07,168076.7373,281336.412,2118426,5,0,0,0,0,0,0,0,0,0,11968,40,5.96352821,0.015945263,0,293,75.03457447,76.66214277,5877.084135,0,1,0,0,0,0,0,0,0,75.23466667,75.43582888,0,0,0,0,0,0,0,374,28213,1,0,-1,65228,186,0,0,0,0,0,0,0,0,0,3
8.8.8.8-10.56.131.106-853-40833-6,10.56.131.106,40833,8.8.8.8,853,6,09/05/2023 01:30,6192819,20,1,1309,0,293,0,65.45,87.59204182,0,0,0,0,211.3738509,3.391024346,309640.95,713861.8086,2334213,5,6164433,324443.8421,730262.7845,2334213,5,0,0,0,0,0,0,0,0,0,640,40,3.229546996,0.16147735,0,293,59.5,85.51343531,7312.547619,0,1,0,0,0,0,0,0,0,62.33333333,65.45,0,0,0,0,0,0,0,20,1309,1,0,-1,65228,9,0,0,0,0,0,0,0,0,0,3
8.8.4.4-10.56.131.106-853-56423-6,10.56.131.106,56423,8.8.4.4,853,6,09/05/2023 01:30,17225247,142,1,10581,0,293,0,74.51408451,77.75025812,0,0,0,0,614.272759,8.301767748,121304.5563,226479.4003,2230102,67,1.72E+07,121988.9504,227139.4055,2230102,67,0,0,0,0,0,0,0,0,0,4544,40,8.243713428,0.05805432,0,293,73.47916667,77.69898603,6037.13243,0,1,0,0,0,0,0,0,0,73.99300699,74.51408451,0,0,0,0,0,0,0,142,10581,1,0,-1,65228,70,0,0,0,0,0,0,0,0,0,3
