Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.4.4-10.140.79.163-853-33956-6,10.140.79.163,33956,8.8.4.4,853,6,06/05/2023 07:04,11239587,35,1,2608,152,152,0,74.51428571,76.50658235,152,152,152,0,245.5606242,3.202964664,321131.0571,1510515.18,8954979,57,1.12E+07,329045.0588,1532494.266,8954979,57,0,0,0,0,0,0,1,0,0,1120,32,3.113993423,0.088971241,0,152,78.7027027,76.44346672,5843.603604,0,0,0,1,1,0,0,0,0,80.88888889,74.51428571,152,0,0,0,0,0,0,35,2608,1,152,-1,520,18,0,1380521,0,1380521,1380521,8954979,0,8954979,8954979,1
8.8.4.4-10.140.79.163-853-38076-6,10.140.79.163,38076,8.8.4.4,853,6,06/05/2023 07:04,196405,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2795.24452,56.00672081,19640.5,31524.16694,98835,4,173050,19227.77778,33407.75985,98835,4,0,0,0,0,0,0,0,0,0,320,40,50.91520073,5.091520073,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.4.4-10.140.79.163-853-22952-6,10.140.79.163,22952,8.8.4.4,853,6,06/05/2023 07:04,24291874,62,1,8085,0,408,0,130.4032258,155.3818627,0,0,0,0,332.8273479,2.593459854,391804.4194,2428560.158,1.91E+07,75,2.43E+07,397749.8689,2448259.529,1.91E+07,75,0,0,0,0,0,0,0,0,0,1984,40,2.552293825,0.041166029,0,408,126.328125,154.5963566,23900.03348,0,1,0,0,0,0,0,0,0,128.3333333,130.4032258,0,0,0,0,0,0,0,62,8085,1,0,-1,65228,30,0,3325216,0,3325216,3325216,1.91E+07,0,1.91E+07,1.91E+07,1
8.8.4.4-10.140.79.163-853-22605-6,10.140.79.163,22605,8.8.4.4,853,6,06/05/2023 07:05,1853307,47,1,5053,0,408,0,107.5106383,134.1360232,0,0,0,0,2726.477588,25.89964857,39432.06383,49573.61706,284296,3,1821998,39608.65217,50106.46061,284296,3,0,0,0,0,0,0,0,0,0,1516,40,25.36007256,0.539576012,0,408,103.122449,133.0591398,17704.73469,0,1,0,0,0,0,0,0,0,105.2708333,107.5106383,0,0,0,0,0,0,0,47,5053,1,0,-1,65228,21,0,0,0,0,0,0,0,0,0,1
8.8.4.4-10.140.79.163-853-22746-6,10.140.79.163,22746,8.8.4.4,853,6,06/05/2023 07:05,240869,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2279.247226,45.6679772,24086.9,44005.25114,141126,4,213958,23773.11111,46662.74939,141126,4,0,0,0,0,0,0,0,0,0,320,40,41.51634291,4.151634291,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-4921-6,10.140.79.163,4921,8.8.8.8,853,6,06/05/2023 07:04,32247395,90,1,11213,0,408,0,124.5888889,147.1858028,0,0,0,0,347.7180095,2.821933369,358304.3889,2234694.733,1.86E+07,3,3.22E+07,362008.573,2247078.112,1.86E+07,3,0,0,0,0,0,0,0,0,0,2880,40,2.790923112,0.031010257,0,408,121.8804348,146.7012995,21521.27126,0,1,0,0,0,0,0,0,0,123.2197802,124.5888889,0,0,0,0,0,0,0,90,11213,1,0,-1,65228,43,0,433415,202525.2816,576622,290208,1.45E+07,5748170.019,1.86E+07,1.05E+07,1
8.8.8.8-10.140.79.163-853-59486-6,10.140.79.163,59486,8.8.8.8,853,6,06/05/2023 07:05,97268,9,1,957,0,560,0,106.3333333,195.1486613,0,0,0,0,9838.795904,102.8087346,10807.55556,15731.33222,35937,6,72906,9113.25,15915.447,35937,6,0,0,0,0,0,0,0,0,0,288,40,92.52786117,10.28087346,0,560,87,179.7681841,32316.6,0,1,0,0,0,0,0,0,0,95.7,106.3333333,0,0,0,0,0,0,0,9,957,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-36929-6,10.140.79.163,36929,8.8.8.8,853,6,06/05/2023 07:05,599600,21,1,2613,0,560,0,124.4285714,184.687458,0,0,0,0,4357.90527,36.69112742,28552.38095,50858.73669,230459,3,569597,28479.85,52178.84853,230459,3,0,0,0,0,0,0,0,0,0,672,40,35.0233489,1.667778519,0,560,113.6086957,179.7044895,32293.70356,0,1,0,0,0,0,0,0,0,118.7727273,124.4285714,0,0,0,0,0,0,0,21,2613,1,0,-1,65228,9,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-37918-6,10.140.79.163,37918,8.8.8.8,853,6,06/05/2023 07:05,3416619,47,1,4669,0,408,0,99.34042553,129.7124372,0,0,0,0,1366.55565,14.04897649,72694.02128,171351.8671,1044364,3,3382083,73523.54348,173149.876,1044364,3,0,0,0,0,0,0,0,0,0,1504,40,13.75628948,0.29268701,0,408,95.28571429,128.5249651,16518.66667,0,1,0,0,0,0,0,0,0,97.27083333,99.34042553,0,0,0,0,0,0,0,47,4669,1,0,-1,65228,21,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-39366-6,10.140.79.163,39366,8.8.8.8,853,6,06/05/2023 07:05,462860,14,1,981,0,293,0,70.07142857,106.9482005,0,0,0,0,2119.431362,32.40720736,33061.42857,51728.91375,195384,6,433193,33322.53846,53831.55694,195384,6,0,0,0,0,0,0,0,0,0,448,40,30.24672687,2.160480491,0,293,61.3125,102.3996867,10485.69583,0,1,0,0,0,0,0,0,0,65.4,70.07142857,0,0,0,0,0,0,0,14,981,1,0,-1,65228,6,0,0,0,0,0,0,0,0,0,1
